
m p n_1
29 631 75546
29 641 26942
29 643 7396
29 647 4235
29 653 57218
29 659 34134
29 661 1944
29 673 13892
29 677 46024
29 683 25144
29 691 11253
29 701 6352
29 709 3945
29 719 6033
29 727 10093
29 733 8614
29 739 73777
29 743 19547
29 751 46343
29 757 12761
29 761 13602
29 769 15574
29 773 3510
29 787 20330
29 797 13515
29 809 39876
29 811 12964
29 821 5598
29 823 5859
29 827 21606
29 829 19866
29 839 30480
29 853 45676
29 857 23433
29 859 14936
29 863 3655

m p n_1
30 37 1711
30 41 781
30 43 541
30 47 571
30 53 901
30 59 12001
30 61 661
30 67 2311
30 71 721
30 73 1051
30 79 2071
30 83 1111
30 89 11101
30 97 13951
30 101 2851
30 103 4831
30 107 2611
30 109 1861
30 113 6121
30 127 8131
30 131 13621
30 137 3121
30 139 13171
30 149 1441
30 151 10621
30 157 6961
30 163 1501
30 167 1801
30 173 4861
30 179 1561
30 181 5551
30 191 2131
30 193 4771
30 197 3571
30 199 4921
30 211 3751
30 223 19261
30 227 2671
30 229 7351
30 233 3271
30 239 8881
30 241 1771
30 251 2941
30 257 6091
30 263 3421
30 269 24121
30 271 13081
30 277 22561
30 281 13621
30 283 7861
30 293 6361
30 307 5371
30 311 4681
30 313 3901
30 317 3031
30 331 7891
30 337 11071
30 347 12361
30 349 17611
30 353 16711
30 359 22861
30 367 2461
30 373 14101
30 379 3241
30 383 12451
30 389 5821
30 397 35551
30 401 29401
30 409 5641
30 419 20701
30 421 4591
30 431 6931
30 433 16111
30 439 14731
30 443 4141
30 449 16531
30 457 8281
30 461 17041
30 463 1741
30 467 2701
30 479 15091
30 487 24481
30 491 9841
30 499 5521
30 503 4891
30 509 9541
30 521 6271
30 523 1831
30 541 28831
30 547 20881
30 557 14101
30 563 15721
30 569 12421
30 571 41641
30 577 8641
30 587 23731
30 593 27781
30 599 6991
30 601 33571
30 607 10201
30 613 26761
30 617 3001
30 619 5731
30 631 78151
30 641 27871
30 643 7651
30 647 4381
30 653 59191
30 659 35311
30 661 2011
30 673 14371
30 677 47611
30 683 26011
30 691 11641
30 701 6571
30 709 4081
30 719 6241
30 727 10441
30 733 8911
30 739 76321
30 743 20221
30 751 47941
30 757 13201
30 761 14071
30 769 16111
30 773 3631
30 787 21031
30 797 13981
30 809 41251
30 811 13411
30 821 5791
30 823 6061
30 827 22351
30 829 20551
30 839 31531
30 853 47251
30 857 24241
30 859 15451
30 863 3781
30 877 15541
30 881 95371
30 883 15571
30 887 45511
30 907 2281
30 911 100081
30 919 3481
30 929 103651

m p n_1
31 37 1768
31 41 807
31 43 559
31 47 590
31 53 931
31 59 12401
31 61 683
31 67 2388
31 71 745
31 73 1086
31 79 2140
31 83 1148
31 89 11471
31 97 14416
31 101 2946
31 103 4992
31 107 2698
31 109 1923
31 113 6325
31 127 8402
31 131 14075
31 137 3225
31 139 13610
31 149 1489
31 151 10975
31 157 7193
31 163 1551
31 167 1861
31 173 5023
31 179 1613
31 181 5736
31 191 2202
31 193 4930
31 197 3690
31 199 5085
31 211 3876
31 223 19903
31 227 2760
31 229 7596
31 233 3380
31 239 9177
31 241 1830
31 251 3039
31 257 6294
31 263 3535
31 269 24925
31 271 13517
31 277 23313
31 281 14075
31 283 8123
31 293 6573
31 307 5550
31 311 4837
31 313 4031
31 317 3132
31 331 8154
31 337 11440
31 347 12773
31 349 18198
31 353 17268
31 359 23623
31 367 2543
31 373 14571
31 379 3349
31 383 12866
31 389 6015
31 397 36736
31 401 30381
31 409 5829
31 419 21391
31 421 4744
31 431 7162
31 433 16648
31 439 15222
31 443 4279
31 449 17082
31 457 8557
31 461 17609
31 463 1799
31 467 2791
31 479 15594
31 487 25297
31 491 10169
31 499 5705
31 503 5054
31 509 9859
31 521 6480
31 523 1892
31 541 29792
31 547 21577
31 557 14571
31 563 16245
31 569 12835
31 571 43029
